ts,open,high,low,close,volume
1767772200000,139.22,139.25,139.18,139.23,1003.48
1767772500000,139.23,139.31,139.21,139.31,10725.55
1767772800000,139.3,139.51,139.28,139.35,32963.97
1767773100000,139.38,139.61,139.36,139.61,3638.48
1767773400000,139.61,139.69,139.36,139.47,3764.5
1767773700000,139.47,139.58,139.41,139.46,2584.48
1767774000000,139.46,139.66,139.27,139.34,695.8
1767774300000,139.34,139.34,139.11,139.31,2544.64
1767774600000,139.35,139.7,139.34,139.39,19196.18
1767774900000,139.39,139.6,139.35,139.56,30778.27
1767775200000,139.56,139.6,139.39,139.42,7350.96
1767775500000,139.43,139.45,139.13,139.13,2795.54
1767775800000,139.14,139.53,139.02,139.36,5017.07
1767776100000,139.38,139.46,139.33,139.34,1126.2
1767776400000,139.35,139.38,139.15,139.38,9127.37
1767776700000,139.37,139.37,138.8,138.95,19015.38
1767777000000,138.95,139.04,138.68,138.68,6026.66
1767777300000,138.68,138.84,138.38,138.39,21661.45
1767777600000,138.38,138.54,138.11,138.11,7615.25
1767777900000,138.11,138.12,137.78,137.86,64197.15
1767778200000,137.86,138.01,137.04,137.18,40502.29
1767778500000,137.17,137.34,137.03,137.14,12716.72
1767778800000,137.15,137.16,136.5,136.86,38910.79
1767779100000,136.84,136.87,136.57,136.87,7314.91
1767779400000,136.85,137.17,136.71,137.11,90094.79
1767779700000,137.1,137.1,136.84,136.87,14801.09
1767780000000,136.84,137.15,136.7,137.1,23774.02
1767780300000,137.1,137.3,137.03,137.27,10834.95
1767780600000,137.27,137.3,137.05,137.28,2784.49
1767780900000,137.28,137.34,137.12,137.26,2194.33
1767781200000,137.26,137.29,137.13,137.17,2214.19
1767781500000,137.19,137.22,137.1,137.2,1427.83
1767781800000,137.2,137.54,137.17,137.53,2045.45
1767782100000,137.53,137.64,137.47,137.53,2695.65
1767782400000,137.53,137.59,137.44,137.52,1263.18
1767782700000,137.52,137.62,137.46,137.59,1201.48
1767783000000,137.59,137.65,137.53,137.58,1599.93
1767783300000,137.58,137.6,137.46,137.55,2423.5
1767783600000,137.52,137.72,137.45,137.71,1531.86
1767783900000,137.72,137.95,137.71,137.95,7080.42
1767784200000,137.95,138.04,137.87,138.01,7025.51
1767784500000,138.01,138.04,137.86,137.99,3527.6
1767784800000,137.98,138.05,137.92,138.04,2513.91
1767785100000,138.04,138.06,137.93,137.95,2502.61
1767785400000,137.95,138.0,137.78,138.0,6758.47
1767785700000,138.0,138.06,137.9,138.05,7038.3
1767786000000,138.05,138.17,137.95,137.95,2327.2
1767786300000,137.97,137.98,137.75,137.76,8946.97
1767786600000,137.76,138.0,137.76,137.91,13359.81
1767786900000,137.92,138.0,137.88,137.9,4768.52
1767787200000,137.89,138.03,137.86,138.0,3519.55
1767787500000,138.01,138.19,137.62,137.84,27246.76
1767787800000,137.83,137.93,137.6,137.63,6428.66
1767788100000,137.63,137.84,137.62,137.82,12690.51
1767788400000,137.82,137.91,137.77,137.78,3661.57
1767788700000,137.77,137.8,137.57,137.75,8500.43
1767789000000,137.78,137.87,137.64,137.64,2626.15
1767789300000,137.66,137.78,137.66,137.75,1295.77
1767789600000,137.71,137.77,137.61,137.75,2814.14
1767789900000,137.8,137.97,137.79,137.92,1423.36
1767790200000,137.91,137.94,137.86,137.91,15089.45
1767790500000,137.89,137.89,137.86,137.89,14535.3
1767790800000,137.91,138.04,137.86,138.04,2941.96
1767791100000,138.04,138.09,137.64,137.64,5215.56
1767791400000,137.65,137.82,137.57,137.57,8912.71
1767791700000,137.57,137.9,137.55,137.72,7060.51
1767792000000,137.72,138.0,137.72,137.99,1813.42
1767792300000,138.02,138.29,138.02,138.15,4096.8
1767792600000,138.09,138.56,138.06,138.28,144414.36
1767792900000,138.29,138.29,138.1,138.23,1941.89
1767793200000,138.22,138.28,138.19,138.22,2040.56
1767793500000,138.22,138.3,138.07,138.21,3495.96
1767793800000,138.18,138.18,137.92,137.92,4586.35
1767794100000,137.92,138.1,137.9,138.1,4243.17
1767794400000,138.12,138.17,137.19,137.5,30636.0
1767794700000,137.48,137.54,137.2,137.3,10661.13
1767795000000,137.31,137.4,136.99,137.29,9516.54
1767795300000,137.28,137.4,136.84,136.91,8120.75
1767795600000,136.91,137.2,136.91,137.13,4667.94
1767795900000,137.15,137.25,137.08,137.25,2060.15
1767796200000,137.24,137.57,136.63,137.28,17118.48
1767796500000,137.31,137.74,137.1,137.51,12564.99
1767796800000,137.51,138.01,137.45,137.54,30857.89
1767797100000,137.54,137.98,137.46,137.63,9450.62
1767797400000,137.63,138.01,137.42,137.91,11783.87
1767797700000,137.88,138.2,137.83,138.03,6551.1
1767798000000,138.03,138.07,136.43,136.84,30789.74
1767798300000,136.85,137.16,136.77,136.93,7790.06
1767798600000,136.97,137.04,136.78,136.8,8116.01
1767798900000,136.8,136.8,135.59,135.78,63436.03
1767799200000,135.79,135.97,135.4,135.7,43845.27
1767799500000,135.73,135.98,135.41,135.8,21037.47
1767799800000,135.75,135.75,135.43,135.61,9576.43
1767800100000,135.6,135.94,135.29,135.52,31853.53
1767800400000,135.54,135.8,135.5,135.71,13232.91
1767800700000,135.71,136.04,135.51,135.98,5287.75
1767801000000,135.98,136.15,135.93,136.02,5406.76
1767801300000,136.0,136.0,135.69,135.69,17204.2
1767801600000,135.68,136.07,135.62,136.03,27805.64
1767801900000,136.0,136.36,136.0,136.21,15529.23
1767802200000,136.19,136.41,136.14,136.35,4574.48
1767802500000,136.34,136.47,136.2,136.22,3246.96
1767802800000,136.22,136.63,136.07,136.35,15410.85
1767803100000,136.34,136.35,135.99,136.16,37549.97
1767803400000,136.18,136.23,135.63,135.72,55469.08
1767803700000,135.74,135.77,135.31,135.66,19135.31
1767804000000,135.67,135.92,135.6,135.86,7329.59
1767804300000,135.87,136.06,135.75,135.78,6609.04
1767804600000,135.79,135.86,135.51,135.62,1999.81
1767804900000,135.64,135.77,135.63,135.67,1405.96
1767805200000,135.67,135.69,135.29,135.55,31183.14
1767805500000,135.58,135.8,135.54,135.7,4196.6
1767805800000,135.7,135.77,135.61,135.69,3498.53
1767806100000,135.68,136.07,135.63,136.07,4774.32
1767806400000,136.07,136.37,136.04,136.22,10196.15
1767806700000,136.22,136.26,136.09,136.23,12974.92
1767807000000,136.23,136.39,136.16,136.31,4266.08
1767807300000,136.32,136.38,136.12,136.27,4550.02
1767807600000,136.27,136.27,135.7,135.98,24622.62
1767807900000,135.99,136.05,135.81,135.82,2010.3
1767808200000,135.81,135.81,135.33,135.52,10908.1
1767808500000,135.51,135.7,135.47,135.54,3351.26
1767808800000,135.54,135.54,135.28,135.34,3251.82
1767809100000,135.37,135.43,134.96,135.39,44217.48
1767809400000,135.38,135.38,135.12,135.31,7522.13
1767809700000,135.28,135.28,135.05,135.23,5210.88
1767810000000,135.23,135.33,135.1,135.15,13422.8
1767810300000,135.15,135.5,134.71,135.37,22322.06
1767810600000,135.37,135.86,135.37,135.79,25394.74
1767810900000,135.78,135.8,135.52,135.68,2096.36
1767811200000,135.71,135.75,135.43,135.44,2878.1
1767811500000,135.42,135.69,135.26,135.67,2148.78
1767811800000,135.69,135.69,135.23,135.23,5403.38
1767812100000,135.25,135.33,134.88,135.19,36200.66
1767812400000,135.19,135.46,135.11,135.45,5787.88
1767812700000,135.46,135.47,134.93,134.97,4086.77
1767813000000,134.96,135.05,134.72,134.78,11723.59
1767813300000,134.85,134.87,134.36,134.83,18344.7
1767813600000,134.85,134.93,134.68,134.69,8928.17
1767813900000,134.73,134.92,134.66,134.91,6857.85
1767814200000,134.92,135.57,134.91,135.34,21180.07
1767814500000,135.35,135.67,135.34,135.62,3039.83
1767814800000,135.62,135.62,135.37,135.5,10525.77
1767815100000,135.48,135.69,135.48,135.67,4554.12
1767815400000,135.67,135.93,135.64,135.66,5601.08
1767815700000,135.66,135.79,135.63,135.69,1908.73
1767816000000,135.7,135.93,135.66,135.8,2212.36
1767816300000,135.82,135.9,135.56,135.64,2217.4
1767816600000,135.62,135.69,135.31,135.36,4171.42
1767816900000,135.36,135.49,135.33,135.47,3251.41
1767817200000,135.5,135.55,134.97,134.97,3826.29
1767817500000,134.96,135.25,134.95,135.25,2363.67
1767817800000,135.25,135.58,135.24,135.47,11627.36
1767818100000,135.48,135.86,135.37,135.82,1971.97
1767818400000,135.79,135.91,135.68,135.7,5612.26
1767818700000,135.74,135.85,135.62,135.8,1996.46
1767819000000,135.81,135.88,135.68,135.68,1991.63
1767819300000,135.71,135.88,135.63,135.79,963.13
